chr	start	end	gene_name
chr9	136080664	136084637	OBP2B
chr12	57828567	57845845	INHBC
chr6	32595956	32614839	HLA-DQA1
chr6	32627244	32636160	HLA-DQB1
chr17	7517264	7536700	SHBG
chr12	57449426	57481846	NEMP1
chr17	38077294	38083854	ORMDL3
chr6	32546546	32557625	HLA-DRB1
chr6	52656169	52668658	GSTA1
chr16	30103635	30108236	YPEL3
chr6	29794744	29798902	HLA-G
chr11	57995354	57996390	OR10Q1
chr17	38024417	38034149	ZPBP2
chr20	62271058	62289035	STMN3
chr11	14515329	14541890	AC018523.2
chr20	29992648	30000641	DEFB121
chr6	32407655	32412823	HLA-DRA
chr22	19118821	19120135	TSSK2
chr7	63980256	64023453	ZNF680
