chr	start	end	strand
chr1	4967	7807	-
chr1	29449	31795	+
chr1	33475	35638	-
chr1	36850	40647	-
chr1	41187	43345	-
chr1	44955	46298	-
chr1	57068	58357	+
chr1	58988	59912	+
chr1	64356	69196	+
chr1	73761	74370	-
chr1	89973	90221	+
chr1	93159	96079	+
chr1	98166	102857	+
chr1	103311	105067	-
chr1	107065	110961	-
chr1	115000	116497	+
chr1	125158	127231	+
chr1	129694	132837	-
chr1	133549	143066	-
chr1	144473	150743	+
chr1	156838	162742	+
chr1	162852	163166	-
chr1	173305	176639	+
chr1	178785	179081	-
chr1	179225	181448	+
chr1	183347	184860	+
chr1	185258	185602	-
chr1	187099	189314	-
chr1	196086	196895	-
chr1	200281	207273	-
chr1	209579	218322	-
chr1	222606	223439	-
chr1	223826	224523	-
chr1	229057	230865	+
chr1	239527	241230	-
chr1	251684	254144	+
chr1	255388	256353	+
chr1	258818	262299	-
chr1	264707	266006	-
chr1	268504	270477	-
chr1	280731	281841	-
chr1	291337	293846	-
chr1	294762	296345	+
chr1	301249	301680	+
chr1	315245	316216	-
chr1	318148	318747	-
chr1	320100	320615	-
chr1	321606	323217	+
chr1	324157	327888	-
chr1	328983	332850	+
chr1	335753	342359	+
chr1	342965	350078	+
chr1	353847	359904	+
chr1	360838	361038	+
chr1	362064	362957	-
chr1	367754	370946	+
chr1	371899	375738	+
chr1	377145	379205	-
chr1	380529	382139	+
chr1	383006	387761	-
chr1	392010	393899	+
chr1	395234	397392	+
chr1	398799	401026	+
chr1	401238	401785	-
chr1	402635	405852	-
chr1	406288	410235	-
chr1	417458	420714	+
chr1	426992	429708	+
chr1	430757	433644	-
chr1	441071	444371	-
chr1	449472	451318	+
chr1	456473	456751	-
chr1	461418	462197	-
chr1	469462	475753	-
chr1	478092	479631	+
chr1	481945	482130	+
chr1	483360	485614	+
chr1	487281	493905	+
chr1	494670	495602	+
chr1	499030	500794	+
chr1	501054	502931	-
chr1	504061	506749	-
chr1	513932	515123	+
chr1	524049	532197	+
chr1	535984	537258	+
chr1	538098	543547	-
chr1	550184	550636	+
chr1	556432	557687	+
chr1	564111	564495	+
chr1	565294	565936	-
chr1	577833	578449	+
chr1	580657	583118	-
chr1	585192	586711	+
chr1	587048	588368	-
chr1	590137	593600	+
chr1	595496	595696	-
chr1	601285	602331	+
chr1	603930	617038	+
chr1	617636	621011	-
chr1	622686	626816	-
chr1	629485	630686	+
chr1	632681	635618	-
chr1	637458	637787	-
chr1	638462	639916	+
chr1	641781	642208	-
chr1	643141	645121	+
chr1	648507	649772	+
chr1	650595	654177	-
chr1	654537	655550	+
chr1	657389	660227	-
chr1	662269	663948	+
chr1	665208	667146	+
chr1	671268	675404	+
chr1	676796	678127	-
chr1	680787	681800	-
chr1	682077	682574	-
chr1	685886	686692	-
chr1	697558	701280	+
chr1	703059	708837	+
chr1	710668	712039	+
chr1	713205	717429	-
chr1	723105	724272	-
chr1	729668	731023	+
chr1	732409	732670	-
chr1	736046	737709	+
chr1	739712	742903	+
chr1	745026	745388	+
chr1	746664	748178	+
chr1	749483	751517	-
chr1	762091	765811	+
chr1	766947	768056	-
chr1	772991	778104	+
chr1	779685	782705	+
chr1	794277	795162	-
chr1	804680	805858	-
chr1	815542	819290	-
chr1	820472	826263	+
chr1	831525	832949	+
chr1	840347	841494	+
chr1	845478	847150	-
chr1	851534	853787	-
chr1	857196	857681	+
chr1	862450	865257	+
chr1	866633	868224	-
chr1	870386	876264	-
chr1	878385	880304	-
chr1	882342	882992	+
chr1	889850	896310	-
chr1	900549	901547	-
chr1	903355	911266	+
chr1	912155	913340	-
chr1	914592	915597	-
chr1	918612	919613	-
chr1	921078	924511	+
chr1	925630	927787	-
chr1	936074	939769	-
chr1	947129	948625	-
chr1	955780	957133	-
